name,timestamp,run,total_runtime,pi_approximate,saveMode,slices,output,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sparkpi,1543383337278,4,446063165,3.1419475141947513,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383337759,4,4076359508,3.141625311416253,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383341907,5,96458709,3.1424271424271426,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383342040,5,412845670,3.1409091140909116,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383342493,5,4236973463,3.1415450314154505,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383346785,6,105808309,3.140691140691141,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383346928,6,399452168,3.1414007141400715,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383347372,6,3852722766,3.141585471415855,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383351274,7,107656332,3.1405991405991407,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383351415,7,421946935,3.1417339141733915,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383351871,7,3768576802,3.141858071418581,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383355689,8,87002480,3.14011514011514,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383355807,8,386761139,3.1432543143254312,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383356238,8,3989170524,3.1416685514166853,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383360266,9,83279563,3.1403351403351403,error,10,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383360377,9,414096113,3.1410039141003914,error,100,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
sparkpi,1543383360821,9,3450435391,3.141590711415907,error,1000,"","",instance-2.us-east1-b.c.cpsc490-222104.internal,44443,file:/home/anushreeagrawal/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,spark://instance-2.us-east1-b.c.cpsc490-222104.internal:7077,2G,app-20181128053502-0008,SparkPi at 2G executor-mem
